temp,wind,DC
27.5,4.5,633.6
30.8,4.9,643
23.9,2.2,661.8
32.6,3.1,661.8
32.3,2.2,671.2
33.3,2.7,671.2
27.3,4.9,671.2
21.6,4.9,671.2
21.6,4.9,671.2
20.7,4.9,671.2
29.2,4.9,689.1
28.9,4.9,689.1
26.7,1.8,744.4
18.5,8.5,752.6
25.9,3.6,752.6
25.9,3.6,752.6
21.1,7.6,752.6
18.2,5.4,752.6
27.8,2.7,665.6
27.8,2.7,665.6
21.9,5.8,665.6
21.2,6.7,665.6
25.6,4,614.7
11.8,4.5,106.7
